x,y
0.9928,-2.69878
0.9936,-2.70094
0.9944,-2.7031
0.9952,-2.70527
0.996,-2.70743
0.9968,-2.7096
0.9976,-2.71177
0.9984,-2.71394
0.9992,-2.71611
1,-2.71828
1.0008,-2.72046
1.0016,-2.72263
1.0024,-2.72481
1.0032,-2.72699
1.004,-2.72918
1.0048,-2.73136
1.0056,-2.73355
1.0064,-2.73573
1.0072,-2.73792
1.008,-2.74012
1.0088,-2.74231
1.0096,-2.7445
1.0104,-2.7467
1.0112,-2.7489
1.012,-2.7511
1.0128,-2.7533
1.0136,-2.7555
1.0144,-2.75771
1.0152,-2.75992
1.016,-2.76212
1.0168,-2.76433
1.0176,-2.76655
1.0184,-2.76876
1.0192,-2.77098
1.02,-2.77319
1.0208,-2.77541
1.0216,-2.77764
1.0224,-2.77986
1.0232,-2.78208
1.024,-2.78431
1.0248,-2.78654
1.0256,-2.78877
1.0264,-2.791
1.0272,-2.79323
1.028,-2.79547
1.0288,-2.79771
1.0296,-2.79995
1.0304,-2.80219
1.0312,-2.80443
1.032,-2.80667
1.0328,-2.80892
1.0336,-2.81117
1.0344,-2.81342
1.0352,-2.81567
